Город,Вуз,Специальность,код_специальности,Предметы_список,Проходной_балл_сумма,Мин_математика,Мин_русский,Мин_информатика,мин_физика,мин_биология,мин_химия,мин_иностранный_язык,мин_география,"мин_литература
",мин_история,мин_общество,описание,фото_вуз,фото_специальности,ссылка_вуз,ссылка_специальность
Сургут,СурГУ,Прикладная математика и информатика,01.03.02,"математика, русский, информатика/физика",193,40,40,44,39,0,0,0,0,0,0,0,"Направление готовит специалистов, способных решать сложные задачи на стыке науки и технологий, используя глубокие математические знания и передовые компьютерные навыки. Выпускники смогут построить успешную карьеру в IT-индустрии, научных исследованиях, анализе данных и многих других перспективных областях.",https://images.fooby.ru/1/92/74/4586963,https://i.vuzopedia.ru/storage/app/resources/resize/0_400_0_0_auto/img_af191c8c2856e5a7107dafb3e21b6c72.jpg,www.surgu.ru,https://go.surgu.ru/010302
Сургут,СурГУ,Лечебное дело,31.05.01,"биология, химия, русский",264,0,40,0,0,50,50,0,0,0,0,0,"Будущих квалифицированных врачей готовят на протяжении шести лет, после чего молодые люди смогут продолжить обучение в интернатуре и ординатуре, выбрав себе специализацию. Учебная программа по этой специальности очень насыщенна и состоит из лекционных занятий и практикумов, в том числе и в условиях стационара. Среди преподаваемых предметов можно выделить: отоларингологию, неврологию, психиатрию, гигиену, экономику здравоохранения и т.д. Студентов готовят не только успешно проводить диагностику и лечение заболеваний, но и заниматься просветительской и профилактической работой.",https://mysurgut.ru/upload/iblock/0cc/shw2a9p40dv0b9mx4t3yut6mhner96kb/8d73c5f14aae635dc5ef2eb5b01b6e5e.jpg,"https://sun9-39.userapi.com/s/v1/ig2/WY-NlSWdA2ssVGPLixg1-26YRf7v6pJOy_cG_j7qzNRi718igM5XXwAvTvEn96G0Sq1pTJKvCJyy3OKo-Gvdmv2n.jpg?quality=95&as=32x21,48x32,72x48,108x72,160x107,240x160,360x240,480x320,540x360,640x427,720x480,768x512&from=bu&cs=768x0",www.surgu.ru,https://go.surgu.ru/310501
Сургут,СурГУ,Управление и аналитика в государственном и муниципальном секторе,38.03.04,"русский, общество, математика/иностарнный",197,40,40,0,0,0,0,30,0,0,0,45,"Программа предназначена для подготовки студентов к работе в государственной сфере. Она предоставляет широкий круг знаний и навыков, необходимых для эффективного управления и анализа в государственных организациях и муниципалитетах. Студенты изучают принципы государственного управления, правовые, экономические и социальные аспекты государственной деятельности. Они также изучают методы анализа данных, статистику, информационные технологии и другие инструменты, необходимые для эффективного принятия решений и разработки политик в государственном секторе. Программа также уделяет внимание развитию навыков коммуникации, руководства и коллективной работы, чтобы студенты могли успешно взаимодействовать с различными заинтересованными сторонами и решать сложные задачи в государственном управлении.",https://informugra.ru/upload/iblock/efb/sgi7rm03h9rk9rdg1d1dm2ok0d7u7bny.jpg,https://406100.selcdn.ru/surgu-pk-public/7hhKDOLTKfeyRlUrlRidvV7Wxy50SlYIGAOd9iTz.svg,www.surgu.ru,https://www.surgu.ru/sveden/education/programs/upravlenie-i-analitika-v-gosudarstvennom-i-municipalynom-sektore-38.03.04.html
Сургут,СурГУ,Экономика предприятий и управление бизнес-процессами,38.03.05,"математика, русский, информатика/общество",218,40,40,44,0,0,0,0,0,0,0,45,"Программа предоставляет студентам необходимые знания и навыки для эффективного управления бизнес-процессами в современных организациях. Программа обеспечивает понимание основных концепций и инструментов, связанных с проектированием, моделированием, анализом и оптимизацией бизнес-процессов.",https://pic.rutubelist.ru/userappearance/17/a7/17a735057ff52f7c7419c0cf227a8230.jpeg,https://bpmteam.ru/wp-content/uploads/2023/03/upravlenie-biznes-proczessami-1024x611.jpg,www.surgu.ru,https://www.go.surgu.ru/380305
Сургут,СурГУ,Искусственный интеллект и экспертные системы,09.03.01,"информатика, русский, математика/физика",173,40,40,44,39,0,0,0,0,0,0,0,"Программа предлагает студентам глубокое изучение современных методов и технологий в области информатики и компьютерной науки. Учебная программа охватывает широкий спектр тем, включая основы программирования, алгоритмы и структуры данных, математическую логику, искусственный интеллект, машинное обучение, компьютерные сети, базы данных, разработку программного обеспечения и анализ данных.",https://bigasia.ru/wp-content/uploads/2023/04/477lrqx2bt47tlbpa0hom0cvt7hcxu56.jpg,https://i.vuzopedia.ru/storage/app/uploads/public/693/278/05f/69327805f0134821105793.jpg,www.surgu.ru,https://www.surgu.ru/sveden/education/programs/iskusstvennyy-intellekt-i-ekspertnye-sistemy-09.03.01.html
Ханты-Мансийск,ЮГУ,Информационная безопасность,10.03.01,"математика, русский, физика/информатика",118,39,40,44,39,0,0,0,0,0,0,0,"Направление подготовки охватывает защиту информации и информационных систем от различных угроз, включая кибератаки, несанкционированный доступ и утечку данных.",https://informugra.ru/upload/iblock/b53/aptsagxrxshhwq1h1o27lrghdf759uc1.jpg,https://avatars.mds.yandex.net/i?id=c80ffe26012ce7ba79220296d43b67a3_l-5232660-images-thumbs&n=13,https://www.ugrasu.ru,https://www.ugrasu.ru/university/education/higher-education/digitex/10-03-01-informatsionnaya-bezopasnost/
Ханты-Мансийск,ЮГУ,Журналистика,42.03.02,"литература, русский, общество/история",115,0,40,0,0,0,0,0,0,40,35,45,"Журналистика — это область, занимающаяся сбором, анализом, интерпретацией и распространением информации через различные медиаформаты.",https://avatars.mds.yandex.net/get-altay/15157522/2a00000194199c0aa715cebe2d04e8759c8a/XXL_height,https://avatars.mds.yandex.net/i?id=9f716afc780dfb65e38c2f2d01b63001_l-5666582-images-thumbs&n=13,https://www.ugrasu.ru,https://www.ugrasu.ru/university/education/higher-education/human/42-03-02-zhurnalistika/
Ханты-Мансийск,ЮГУ,Экология и природопользование,05.03.06,"биология, русский, география/химия",118,0,40,0,0,39,39,0,40,0,0,0,"Направление подготовки изучает взаимодействие человека с окружающей средой, а также методы охраны и рационального использования природных ресурсов.",https://avatars.mds.yandex.net/get-altay/10141118/2a0000018c61b6c22a6f98abb807c74a12d9/XXL_height,https://avatars.mds.yandex.net/i?id=c1851e356e5d05fc9e8c3d2467983cf1cadbff2d-9213435-images-thumbs&n=13,https://www.ugrasu.ru,https://www.ugrasu.ru/university/education/higher-education/greenschool/05-03-06-ekologiya-i-prirodopolzovanie/
Ханты-Мансийск,ЮГУ,Юриспруденция,40.03.01,"общество, русский, история/иностранный",115,0,40,0,0,0,0,30,0,0,35,45,"Направление подготовки нацелено на подготовку специалистов в области права, обладающих глубокими знаниями правовых норм, принципов и механизмов функционирования правовой системы.",https://news.kmnsoyuz.ru/wp-content/uploads/2022/04/na-baze-yugu-mogut-sozdat-kafedru-yunesko-korennye-narody-v-usloviyah-globalizaczii-1536x1024-1.jpg,https://avatars.mds.yandex.net/i?id=6a7d4cc65fc688a681b6edad9a7fb25af2f75525-9181971-images-thumbs&n=13,https://www.ugrasu.ru,https://www.ugrasu.ru/university/education/higher-education/pravo/40-03-01-yurisprudentsiya/
Ханты-Мансийск,ЮГУ,Нефтегазовое дело,21.03.01,"математика, русский, физика/информатика",118,39,40,44,39,0,0,0,0,0,0,0,"Направление подготовки изучает процессы добычи, переработки и транспортировки углеводородных ресурсов, а также управление нефтегазовыми проектами.",https://www.ugrasu.ru/upload/iblock/254/plai9jfi7s5qe32jeg536pzita0w00xh.jpeg,https://i.vuzopedia.ru/storage/app/uploads/public/68f/bc4/4f1/68fbc44f1a874253970150.jpg,https://www.ugrasu.ru,https://www.ugrasu.ru/university/education/higher-education/vnsch/21-03-01-neftegazovoe-delo/
